"Z30_REC_KEY","Z30_BARCODE","Z30_SUB_LIBRARY","Z30_MATERIAL","Z30_ITEM_STATUS","Z30_OPEN_DATE","Z30_UPDATE_DATE","Z30_CATALOGER","Z30_DATE_LAST_RETURN","Z30_HOUR_LAST_RETURN","Z30_IP_LAST_RETURN","Z30_NO_LOANS","Z30_ALPHA","Z30_COLLECTION","Z30_CALL_NO_TYPE","Z30_CALL_NO","Z30_CALL_NO_KEY","Z30_CALL_NO_2_TYPE","Z30_CALL_NO_2","Z30_CALL_NO_2_KEY","Z30_DESCRIPTION","Z30_NOTE_OPAC","Z30_NOTE_CIRCULATION","Z30_NOTE_INTERNAL","Z30_ORDER_NUMBER","Z30_INVENTORY_NUMBER","Z30_INVENTORY_NUMBER_DATE","Z30_LAST_SHELF_REPORT_DATE","Z30_PRICE","Z30_SHELF_REPORT_NUMBER","Z30_ON_SHELF_DATE","Z30_ON_SHELF_SEQ","Z30_REC_KEY_2","Z30_REC_KEY_3","Z30_PAGES","Z30_ISSUE_DATE","Z30_EXPECTED_ARRIVAL_DATE","Z30_ARRIVAL_DATE","Z30_ITEM_STATISTIC","Z30_ITEM_PROCESS_STATUS","Z30_COPY_ID","Z30_HOL_DOC_NUMBER_X","Z30_TEMP_LOCATION","Z30_ENUMERATION_A","Z30_ENUMERATION_B","Z30_ENUMERATION_C","Z30_ENUMERATION_D","Z30_ENUMERATION_E","Z30_ENUMERATION_F","Z30_ENUMERATION_G","Z30_ENUMERATION_H","Z30_CHRONOLOGICAL_I","Z30_CHRONOLOGICAL_J","Z30_CHRONOLOGICAL_K","Z30_CHRONOLOGICAL_L","Z30_CHRONOLOGICAL_M","Z30_SUPP_INDEX_O","Z30_85X_TYPE","Z30_DEPOSITORY_ID","Z30_LINKING_NUMBER","Z30_GAP_INDICATOR","Z30_MAINTENANCE_COUNT","Z30_PROCESS_STATUS_DATE"
"002927124000010","2927124-10                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","327.73 K81L","1 327 73 k81!l                                                                  ","","","                                                                                ","","","","","","M4444",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927104000010","2927104-10                    ","IRI  ","PA   ","10",20190214,20190214,"5621670   ",0,0,"",0,"L","COSF ","1","940.53 T475e","1 940 53 t475!e                                                                 ","","","                                                                                ","","","","","","M4445",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927448000010","2927448-10                    ","IRI  ","PA   ","10",20190214,20190214,"1474787   ",0,0,"",0,"L","","1","T327.0218 K16i","1 t327 0218 k16!i                                                               ","","","                                                                                ","","","","Doação da Pós-Graduação","","T125",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927439000010","2927439-10                    ","IRI  ","PA   ","10",20190214,20190214,"1474787   ",0,0,"",0,"L","","1","T323.028 N163p","1 t323 028 n163!p                                                               ","","","                                                                                ","","","","Doação da Pós-Graduação","","T124",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927489000010","2927489-10                    ","IRI  ","PA   ","10",20190214,20190214,"1474787   ",0,0,"",0,"L","","1","T352.82 M582p","1 t352 82 m582!p                                                                ","","","                                                                                ","","","","Doação da Pós-Graduação","","T126",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927509000010","2927509-10                    ","IRI  ","PA   ","10",20190214,20190214,"1474787   ",0,0,"",0,"L","","1","T338.91 O41d","1 t338 91 o41!d                                                                 ","","","                                                                                ","","","","Doação da Pós-Graduação","","T127",20190214,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"002927513000010","667321-90                     ","IRI  ","PA   ","10",20190214,20190214,"3791771   ",0,0,"",0,"L","","1","923.2 B663t 4.ed.","1 923 2 b663!t 4 ed                                                             ","","","                                                                                ","","","","Doação de Prof. Dr. Pedro B. A. Dallari","","M1619",20161017,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190214
"000105001000130","105001-130                    ","IRI  ","PA   ","10",20190215,20190215,"1474787   ",0,0,"",0,"L","COSF ","1","338.981 I11e e.2","1 338 981 i11!e e 2                                                             ","","","                                                                                ","e.2","","","","","M4451",20190215,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00002","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190215
"001779105000050","1779105-50                    ","IRI  ","PA   ","10",20190215,20190215,"1474787   ",0,0,"",0,"L","COSF ","1","340.1 B663d","1 340 1 b663!d                                                                  ","","","                                                                                ","","","","","","M4448",20190215,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190215
"001465589000040","1465589-40                    ","IRI  ","PA   ","10",20190215,20190215,"1474787   ",0,0,"",0,"L","COSF ","1","940.53 F418n","1 940 53 f418!n                                                                 ","","","                                                                                ","","","","","","M4450",20190215,0,"","                    ",0,0,"0000000000000000000","                                   00000","",0,"00000000","00000000","02        ","  ","00001","000000000","N","","","","","","","","","","","","","","","","",0,"",0,20190215
